MAPE,MSE,RMSE
"17.0722214065106","0.578034098705833","0.760285537614542"
"17.0787132418807","0.57838411439754","0.760515689777364"
"17.0850107567314","0.578724343211404","0.76073933986051"
"17.0911229434968","0.579055271774536","0.760956813343922"
"17.0970582365075","0.579377355891281","0.76116841493278"
"17.1028350163262","0.579691022691299","0.761374430021982"
"17.1084714043999","0.579996672617526","0.761575126049641"
"17.113953232302","0.580294681266542","0.76177075374849"
"17.1193037014777","0.58058540109288","0.761961548303377"
"17.1245608449277","0.580869162987911","0.762147730422331"
"17.1296802010076","0.581146277743112","0.762329507328106"
"17.1346672937118","0.581417037406723","0.762507073676515"
"17.1395273348434","0.581681716542085","0.762680612407373"
"17.1442652449857","0.5819405733953","0.762850295533337"
"17.1488856729045","0.582193850979201","0.763016284871562"
"17.1533930135079","0.582441778080094","0.763178732722613"
"17.1578085990546","0.582684570193177","0.763337782500759"
"17.162301332727","0.582922430392081","0.763493569319402"
"17.1666891221469","0.583155550137535","0.763646220535095"
"17.1709756113022","0.583384110029734","0.763795856253315"
"17.1751642568886","0.58360828050865","0.763942589798899"
"17.1792583400666","0.583828222506145","0.764086528153811"
"17.1832609773898","0.58404408805348","0.764227772364679"
"17.1871751309699","0.58425602084748","0.764366417922373"
"17.1910036179351","0.584464156778388","0.76450255511567"
"17.1947491192369","0.584668624422189","0.764636269360923"
"17.1984141878549","0.584869545499966","0.764767641509476"
"17.2020012564441","0.585067035306639","0.764896748134438"
"17.205512644467","0.585261203111283","0.765023661798302"
"17.2089505648483","0.585452152531018","0.765148451302764"
"17.2123171301875","0.585639981880321","0.765271181922017"
"17.2156143585627","0.585824784497495","0.76539191562068"
"17.2188441789528","0.586006649049846","0.765510711257423"
"17.222008436309","0.586185659819061","0.765627624775296"
"17.2251088962976","0.586361896968117","0.76574270937967"
"17.2281472497392","0.586535436790985","0.76585601570464"
"17.2311251167654","0.586706351946295","0.765967591968678"
"17.2340440507124","0.586874711676027","0.76607748412026"
"17.23690554177","0.587040582010233","0.766185735974139"
"17.2397110204029","0.587204025958719","0.766292389338899"
"17.24246186056","0.587365103690542","0.76639748413636"
"17.2451593826855","0.587523872702127","0.766501058513377"
"17.2478048565463","0.587680387974747","0.766603148946537"
"17.2503995038868","0.587834702122055","0.766703790340216"
"17.252944500923","0.587986865528316","0.766803016118427"
"17.2554409806877","0.588136926477945","0.766900858310867"
"17.2578900352341","0.588284931276893","0.766997347633545"
"17.2602927177097","0.588430924366425","0.767092513564319"
"17.2626500443068","0.588574948429761","0.767186384413697"
"17.2649629960995","0.588717044492043","0.767278987391185"
"17.2672325207722","0.588857252014044","0.767370348667476"
"17.2694595342484","0.58899560898003","0.767460493432743"
"17.271644922226","0.589132151980131","0.767549445951289"
"17.2737895416232","0.589266916287572","0.767637229612772"
"17.2758942219429","0.5893999359311","0.767723866980245"
"17.2779597665589","0.589531243762886","0.767809379835182"
"17.2799869539302","0.589660871522214","0.767893789219716"
"17.2819765387465","0.589788849895199","0.767977115476235"
"17.28392925301","0.589915208570804","0.76805937828452"
"17.2858458070571","0.590039976293368","0.768140596696574"
"17.2877268905236","0.590163180911884","0.768220789169288"
"17.289573173257","0.590284849426217","0.768299973595091"
"17.2913853061791","0.590405008030459","0.768378167330683"
"17.2931639221014","0.590523682153609","0.768455387224014"
"17.2952022499483","0.590640896497731","0.768531649639578"
"17.2972429126004","0.590756675073763","0.768606970482159"
"17.2992525998586","0.590871041235114","0.768681365219109"
"17.3012318617804","0.590984017709201","0.768754848901261"
"17.3031812337366","0.591095626627044","0.768827436182557"
"17.3051012369923","0.591205889551046","0.768899141338476"
"17.3069923792579","0.59131482750108","0.76896997828334"
"17.3088551552124","0.591422460978982","0.769039960586563"
"17.3106900470001","0.591528809991548","0.769109101487915"
"17.312497524703","0.591633894072145","0.769177413911865"
"17.3142780467892","0.59173773230101","0.769244910481058"
"17.3160320605399","0.59184034332433","0.76931160352898"
"17.3177600024556","0.591941745372172","0.769377505111875"
"17.3194622986422","0.592041956275347","0.76944262701994"
"17.3211393651789","0.592140993481267","0.769506980787872"
"17.3227916084694","0.592238874068869","0.76957057770478"
"17.3244194255752","0.592335614762659","0.769633428823527"
"17.3260232045348","0.592431231945933","0.769695544969524"
"17.3276033246673","0.592525741673231","0.769756936749018"
"17.3291601568623","0.592619159682079","0.769817614556902"
"17.3306940638572","0.592711501404047","0.769877588584086"
