No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
63,bmg2024hygu,"2024-04-22T21:26:10,139928Z",1.23858821392059,126.816467285156,3.64523815392176,M,25,22,110.716217041015,Northern Molucca Sea,BMKG
64,bmg2024hydd,"2024-04-22T19:36:17,428654Z",-0.752185463905334,122.117050170898,4.0782066720646,M,5,67,30.4536590576171,"Minahassa Peninsula, Sulawesi",BMKG
65,bmg2024hxur,"2024-04-22T15:19:38,352758Z",-2.42754054069519,121.170982360839,3.32095418876908,M,2,39,57.4519882202148,"Sulawesi, Indonesia",BMKG
66,bmg2024hxrp,"2024-04-22T13:45:48,698025Z",0.504923820495605,126.316215515136,3.36572936159606,MLv,10,26,96.5784301757812,Northern Molucca Sea,BMKG
67,bmg2024hxmt,"2024-04-22T11:18:49,426932Z",0.673379778861999,123.88377380371,5.00822955569271,MLv,244,148,73.5971794128418,"Minahassa Peninsula, Sulawesi",BMKG
68,bmg2024hxfn,"2024-04-22T07:40:09,190418Z",-2.27805161476135,120.992523193359,3.5286960521766,M,10,49,53.2251815795898,"Sulawesi, Indonesia",BMKG
69,bmg2024hxbj,"2024-04-22T05:34:13,484305Z",-6.38242387771606,130.937438964843,4.94750318239967,M,116,118,57.8128280639648,Banda Sea,BMKG
70,bmg2024hwwk,"2024-04-22T03:03:13,922843Z",1.09366726875305,127.011291503906,4.70584257935867,M,11,93,55.741886138916,"Halmahera, Indonesia",BMKG
71,bmg2024hwtx,"2024-04-22T01:48:06,266299Z",-2.8529794216156,119.455574035644,2.83964429792119,M,10,20,71.4347229003906,"Sulawesi, Indonesia",BMKG
72,bmg2024hwhy,"2024-04-21T19:44:59,828041Z",-1.39496183395385,120.082092285156,2.37060270934078,M,10,17,67.4180145263671,"Sulawesi, Indonesia",BMKG
73,bmg2024hvya,"2024-04-21T14:45:02,70666Z",0.511123836040496,120.897140502929,3.72941324654882,M,63,49,83.0476379394531,"Minahassa Peninsula, Sulawesi",BMKG
74,bmg2024hvvw,"2024-04-21T13:39:37,924011Z",-6.36261892318725,130.023284912109,4.24709948446296,M,121,37,128.542648315429,Banda Sea,BMKG
75,bmg2024hvuc,"2024-04-21T12:45:51,703956Z",-0.175882533192634,122.726455688476,3.0004637264932,M,66,28,77.265380859375,"Minahassa Peninsula, Sulawesi",BMKG
76,bmg2024hvpg,"2024-04-21T10:18:08,12685Z",-0.604953527450561,127.811256408691,3.05285960879237,M,11,12,223.79052734375,"Halmahera, Indonesia",BMKG
77,bmg2024huwo,"2024-04-21T00:52:24,552106Z",-1.6199368238449,120.141860961914,2.61231807285991,M,10,18,73.8228759765625,"Sulawesi, Indonesia",BMKG
78,bmg2024huoj,"2024-04-20T20:43:24,064007Z",3.80509328842163,126.676391601562,3.52398960994502,M,30,21,136.75244140625,"Talaud Islands, Indonesia",BMKG
79,bmg2024hugc,"2024-04-20T16:33:33,679028Z",-0.375075191259384,123.583526611328,2.86849456006226,M,22,24,110.415164947509,"Minahassa Peninsula, Sulawesi",BMKG
80,bmg2024hubq,"2024-04-20T14:17:34,603406Z",0.348482966423034,122.026489257812,3.18990969296384,M,162,41,61.9712963104248,"Minahassa Peninsula, Sulawesi",BMKG
81,bmg2024htzn,"2024-04-20T13:13:17,907424Z",-0.376943290233612,123.715843200683,3.31952220189925,M,91,120,51.2217636108398,"Minahassa Peninsula, Sulawesi",BMKG
82,bmg2024htxo,"2024-04-20T12:14:38,107056Z",1.27265119552612,126.456481933593,3.36839909281636,M,150,36,99.0337867736816,Northern Molucca Sea,BMKG
83,bmg2024htwl,"2024-04-20T11:40:08,862328Z",0.456427335739135,126.301139831542,3.44609278827741,M,10,70,76.9467620849609,Northern Molucca Sea,BMKG
84,bmg2024htwf,"2024-04-20T11:33:18,911654Z",0.533058106899261,126.274848937988,3.58772643621153,M,53,72,75.6087799072265,Northern Molucca Sea,BMKG
