No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
57,bmg2024gaga,2024-03-26T12:15:12.804836Z,-7.260009765625,106.11148834228516,3.2883637181727257,M,28,36,208.102294921875,Java, Indonesia,BMKG
58,bmg2024fzea,2024-03-25T22:06:03.705647Z,-6.808433055877686,108.0964584350586,3.0439268425958397,M,5,30,45.29173278808594,Java, Indonesia,BMKG
59,bmg2024fybd,2024-03-25T07:30:59.641934Z,-6.949596881866455,105.47122192382812,3.2959402454880014,M,29,38,218.5010528564453,Sunda Strait, Indonesia,BMKG
60,bmg2024fert,2024-03-14T17:11:17.30479Z,-7.19691228866577,107.68356323242188,2.46610561624214,M,15,17,101.20960998535156,Java, Indonesia,BMKG
61,bmg2024etxz,2024-03-08T19:50:14.090939Z,-6.666298866271973,107.81360626220703,3.090305242374343,M,7,23,87.11808586120605,Java, Indonesia,BMKG
62,bmg2024erst,2024-03-07T14:56:01.11863Z,-6.746456623077393,106.62859344482422,2.4912096152364547,MLv,116,25,63.30713653564453,Java, Indonesia,BMKG
63,bmg2024eqjt,2024-03-06T21:14:36.940022Z,-7.202866077423096,107.6347885131836,2.4808410644823105,M,10,16,84.71004390716553,Java, Indonesia,BMKG
64,bmg2024eouw,2024-03-06T00:35:42.03946Z,-6.452816009521484,107.38038635253906,2.2272550804717892,MLv,10,10,137.162841796875,Java, Indonesia,BMKG
65,bmg2024ejls,2024-03-03T02:16:55.217425Z,-7.193397998809814,107.73582458496094,2.794598218130845,M,10,16,92.51557159423828,Java, Indonesia,BMKG
66,bmg2024ilcn,2024-04-29T22:03:50.134852Z,-7.107677459716797,105.34546661376953,3.52204854679029,M,5,43,224.07272338867188,Java, Indonesia,BMKG
67,bmg2024ikuw,2024-04-29T18:10:58.010401Z,-7.087382316589355,106.98058319091797,2.1121946919730372,M,14,27,95.96395874023438,Java, Indonesia,BMKG
68,bmg2024ikuu,2024-04-29T18:08:25.20195Z,-7.10810661315918,106.97589111328125,2.8922771533995295,M,11,32,101.29240417480469,Java, Indonesia,BMKG
69,bmg2024ihny,2024-04-27T23:16:33.386032Z,-7.159498691558838,105.35150146484375,3.223025886525227,M,5,35,234.6991424560547,Java, Indonesia,BMKG
70,bmg2024iguj,2024-04-27T13:22:58.623333Z,-6.841363906860352,107.0026626586914,3.0662161082046917,M,5,19,78.50016021728516,Java, Indonesia,BMKG
71,bmg2024igel,2024-04-27T05:21:19.44252Z,-6.629367351531982,107.95294952392578,3.284553980963699,M,300,50,77.09194564819336,Java, Indonesia,BMKG
72,bmg2024igcn,2024-04-27T04:22:44.11573Z,-7.16317367553711,105.3582992553711,4.72440199170035,M,10,32,209.77413177490234,Java, Indonesia,BMKG
73,bmg2024ibjy,2024-04-24T14:26:43.119024Z,-6.915008068084717,106.4352035522461,3.179895442481495,M,131,36,108.97616577148438,Java, Indonesia,BMKG
74,bmg2024heti,2024-04-12T05:03:45.121789Z,-7.24302864074707,107.64295959472656,2.5152736571262,M,10,15,105.788236618042,Java, Indonesia,BMKG
75,bmg2024hauq,2024-04-10T01:10:54.024107Z,-6.756255149841309,105.92947387695312,2.4074391416001526,M,61,20,73.02821350097656,Sunda Strait, Indonesia,BMKG
76,bmg2024gxpk,2024-04-08T07:07:59.533667Z,-7.232268810272217,107.64122772216797,2.7040746810618095,M,10,17,83.60354614257812,Java, Indonesia,BMKG
77,bmg2024gsad,2024-04-05T05:44:26.074429Z,-7.27846622467041,106.58013916015625,2.1268426567010934,M,39,17,128.92212677001953,Java, Indonesia,BMKG
78,bmg2024gmxf,2024-04-02T10:34:01.94475Z,-7.27699041366577,106.54556274414062,2.7855745995660874,M,47,29,105.11476135253906,Java, Indonesia,BMKG
79,bmg2024gkjv,2024-04-01T01:31:49.21821Z,-7.285343647003174,106.5483627319336,3.264173234776099,M,45,41,106.48627471923828,Java, Indonesia,BMKG
80,bmg2024gkhy,2024-04-01T00:35:21.480839Z,-7.078190803527832,105.8651123046875,3.013507662525928,M,10,27,197.78421020507812,Java, Indonesia,BMKG
81,bmg2024jzvk,2024-05-22T05:01:40.714066Z,-6.142913818359375,105.3931884765625,2.760481673480846,M,13,9,143.3946990966797,Sunda Strait, Indonesia,BMKG
82,bmg2024jxds,2024-05-20T17:49:42.406077Z,-6.982375144958496,106.62150573730469,2.6946076427120795,M,130,25,73.29505157470703,Java, Indonesia,BMKG
83,bmg2024jrvi,2024-05-17T19:54:53.612961Z,-6.807158946990967,107.93374633789062,3.46439708488836,MLv,10,77,70.39910888671875,Java, Indonesia,BMKG
84,bmg2024jnqw,2024-05-15T13:06:22.055254Z,-6.832714557647705,107.10484313964844,2.8209735459740544,M,10,35,68.68655014038086,Java, Indonesia,BMKG
85,bmg2024jnkd,2024-05-15T09:42:55.481899Z,-5.790206432342529,106.67417907714844,4.878883033046003,Mw(mB),263,227,35.13637924194336,Java, Indonesia,BMKG
86,bmg2024jign,2024-05-12T14:12:00.929074Z,-6.746182918548584,106.57487487792969,3.286049773861817,M,10,33,68.39273071289062,Java, Indonesia,BMKG
87,bmg2024jcgf,2024-05-09T07:14:17.589727Z,-6.768795967102051,106.6436538696289,3.357935222571065,M,10,51,55.43482971191406,Java, Indonesia,BMKG
88,bmg2024iooi,2024-05-01T19:25:51.813632Z,-6.990372180938721,106.25630187988281,2.1879680743121734,M,101,25,142.5229034423828,Java, Indonesia,BMKG
89,bmg2024iobc,2024-05-01T12:44:50.12869Z,-7.047462463378906,105.3727035522461,3.191128853661015,M,15,36,224.26692962646484,Java, Indonesia,BMKG
90,bmg2024ioaw,2024-05-01T12:37:36.687151Z,-7.054034233093262,105.35283660888672,3.8648358591587386,M,10,62,195.36712646484375,Java, Indonesia,BMKG
91,bmg2024injs,2024-05-01T03:57:30.664236Z,-6.438559055328369,107.30770111083984,2.836672970220185,M,10,25,80.936185836792,Java, Indonesia,BMKG
92,bmg2024inia,2024-05-01T03:06:11.494109Z,-7.134665012359619,107.55836486816406,4.1710436006638085,M,10,69,83.40336608886719,Java, Indonesia,BMKG
