No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Coun,Azimuth Ga,Location,Agency,field_13,lat,long
13,bmg2024asql,2024/01/11 04:45:04.244,-6.967778206000000,105.429542499999997,3.171137648000000,M,23,40,217.851089500000000,Sunda Strait,Indonesia,BMKG,-6.968,105
14,bmg2024arlv,2024/01/10 13:17:25.627,-6.828608036000000,107.936477699999998,2.889399731000000,M,10,40,88.909862520000004,Java,Indonesia,BMKG,-6.829,108
15,bmg2024arfv,2024/01/10 10:15:19.911,-6.703187466000000,106.573585499999993,2.363176594000000,M,18,14,90.475784300000001,Java,Indonesia,BMKG,-6.703,107
16,bmg2024anil,2024/01/08 07:02:02.017,-6.836732388000000,107.959991500000001,3.001512113000000,M,5,24,82.297649379999996,Java,Indonesia,BMKG,-6.837,108
17,bmg2024angb,2024/01/08 05:50:14.502,-6.809510231000000,107.932235700000007,2.622187681000000,MLv,12,23,105.773265800000004,Java,Indonesia,BMKG,-6.810,108
18,bmg2024amtg,2024/01/07 23:21:24.287,-7.060954571000000,105.339935299999993,3.551724324000000,MLv,10,42,225.659027100000003,Java,Indonesia,BMKG,-7.061,105
19,bmg2024aijw,2024/01/05 14:04:48.053,-6.725165367000000,106.547714200000001,2.777174687000000,MLv,10,26,105.186477699999998,Java,Indonesia,BMKG,-6.725,107
20,bmg2024agfc,2024/01/04 09:23:58.753,-6.803332329000000,107.930519099999998,2.347388139000000,MLv,15,19,100.839241000000001,Java,Indonesia,BMKG,-6.803,108
21,bmg2024agfb,2024/01/04 09:22:10.030,-6.813941956000000,107.884925800000005,2.616228523000000,MLv,13,19,85.117626189999996,Java,Indonesia,BMKG,-6.814,108
22,bmg2024agds,2024/01/04 08:41:51.957,-6.810324669000000,107.945694000000003,2.409083895000000,MLv,15,13,128.672576899999996,Java,Indonesia,BMKG,-6.810,108
23,bmg2024afna,2024/01/04 00:15:49.922,-7.223891735000000,107.699867200000000,3.186007088000000,MLv,10,54,69.686401369999999,Java,Indonesia,BMKG,-7.224,108
24,bmg2024afkb,2024/01/03 22:44:29.095,-7.148950577000000,105.566505399999997,3.140824367000000,MLv,14,16,250.874877900000001,Java,Indonesia,BMKG,-7.149,106
25,bmg2024afbt,2024/01/03 18:33:34.660,-6.825537682000000,107.926399200000006,2.397830938000000,M,15,17,88.826091770000005,Java,Indonesia,BMKG,-6.826,108
26,bmg2024aehz,2024/01/03 08:34:31.659,-6.759332180000000,107.941185000000004,2.481294307000000,MLv,10,17,120.568306000000007,Java,Indonesia,BMKG,-6.759,108
27,bmg2024aegw,2024/01/03 08:00:25.185,-6.486607075000000,106.081672699999999,3.309792146000000,MLv,128,35,81.976267809999996,Java,Indonesia,BMKG,-6.487,106
28,bmg2024adis,2024/01/02 19:49:01.847,-6.722068787000000,106.597167999999996,2.093335147000000,MLv,15,19,116.389648399999999,Java,Indonesia,BMKG,-6.722,107
29,bmg2024adgn,2024/01/02 18:42:09.167,-6.792029381000000,107.934883099999993,2.370620813000000,MLv,10,19,104.024505599999998,Java,Indonesia,BMKG,-6.792,108
30,bmg2024ackn,2024/01/02 07:35:23.401,-6.794177055000000,107.947540300000000,2.733695219000000,MLv,10,33,101.837875400000001,Java,Indonesia,BMKG,-6.794,108
31,bmg2024abbh,2024/01/01 13:46:48.334,-6.814092159000000,107.925666800000002,4.501647536000000,MLv,7,80,93.304290769999994,Java,Indonesia,BMKG,-6.814,108
32,bmg2024aaby,2024/01/01 00:59:21.803,-6.966860771000000,107.180923500000006,3.887959258000000,MLv,163,77,51.867828369999998,Java,Indonesia,BMKG,-6.967,107
33,bmg2024ecyp,2024/02/28 12:50:04.432,-6.855815410614014,106.909141540527344,2.008567621389519,M,38,11,83.168075561523438,Java,Indonesia,BMKG,-6.856,107
34,bmg2024ecat,2024/02/28 00:48:07.199,-6.760321140289308,107.686386108398438,2.717254098503412,M,10,22,66.720933914184570,Java,Indonesia,BMKG,-6.760,108
35,bmg2024ebpq,2024/02/27 19:10:12.268,-6.705174446105958,105.898513793945312,2.662517346292241,M,73,34,73.212020874023438,Sunda Strait,Indonesia,BMKG,-6.705,106
36,bmg2024dzwc,2024/02/26 20:09:49.951,-6.755373001098634,107.627601623535156,2.893753898936080,M,12,20,80.832817077636719,Java,Indonesia,BMKG,-6.755,108
37,bmg2024dthv,2024/02/23 06:08:40.686,-6.931711196899414,105.586151123046875,2.337944051184831,M,13,8,285.816810607910156,Sunda Strait,Indonesia,BMKG,-6.932,106
38,bmg2024dpdu,2024/02/20 23:34:14.339,-7.273375988006592,106.549232482910156,3.081688947076361,M,44,43,101.183822631835938,Java,Indonesia,BMKG,-7.273,107
39,bmg2024dpak,2024/02/20 21:51:27.490,-6.977453231811524,105.399131774902330,3.295966963628505,M,28,30,220.101104736328125,Sunda Strait,Indonesia,BMKG,-6.977,105
40,bmg2024dmox,2024/02/19 13:46:23.086,-5.913745403289796,105.403320312500000,3.680860028703732,M,128,85,128.278678894042969,Sunda Strait,Indonesia,BMKG,-5.914,105
41,bmg2024dlap,2024/02/18 17:23:49.945,-5.777748584747314,105.863594055175781,4.089281344897365,M,187,102,76.405910491943359,Sunda Strait,Indonesia,BMKG,-5.778,106
42,bmg2024dhsd,2024/02/16 21:43:39.278,-7.197667121887208,107.684753417968750,2.327214646474245,M,11,19,96.953628540039062,Java,Indonesia,BMKG,-7.198,108
43,bmg2024dgle,2024/02/16 05:04:27.842,-6.994665622711182,106.726074218750000,2.247418867181967,MLv,16,26,81.650772094726562,Java,Indonesia,BMKG,-6.995,107
44,bmg2024dfso,2024/02/15 19:40:04.921,-6.735036373138428,106.143615722656250,2.112328578140032,M,10,17,117.601371765136719,Java,Indonesia,BMKG,-6.735,106
45,bmg2024decu,2024/02/14 22:33:55.616,-6.672053813934326,105.799018859863281,2.456037707706755,M,18,24,113.981246948242202,Sunda Strait,Indonesia,BMKG,-6.672,106
46,bmg2024cynq,2024/02/11 21:13:26.990,-7.018456459000000,106.138008099999993,2.601342316000000,MLv,93,38,160.421783400000010,Java,Indonesia,BMKG,-7.018,106
47,bmg2024cymp,2024/02/11 20:42:06.944,-6.093000889000000,105.712326000000004,3.602338675000000,MLv,149,62,134.306739800000003,Sunda Strait,Indonesia,BMKG,-6.093,106
48,bmg2024cxqf,2024/02/11 09:22:53.644,-6.979990959000000,105.512329100000002,3.653223462000000,M,24,52,215.536117600000011,Sunda Strait,Indonesia,BMKG,-6.980,106
49,bmg2024cwyd,2024/02/11 00:15:44.056,-7.155399323000000,106.659477199999998,2.867406433000000,MLv,80,46,86.765754700000002,Java,Indonesia,BMKG,-7.155,107
50,bmg2024cvci,2024/02/10 00:05:44.192,-6.993901252746582,106.665611267089844,2.216801962728994,M,18,29,78.992179870605469,Java,Indonesia,BMKG,-6.994,107
51,bmg2024cpil,2024/02/06 20:22:32.797,-6.991653919000000,106.675125100000002,2.315566250000000,MLv,11,23,79.455917360000001,Java,Indonesia,BMKG,-6.992,107
52,bmg2024cmbl,2024/02/05 01:25:24.016,-6.780802250000000,107.081253099999998,3.371671356000000,MLv,10,108,86.223869320000006,Java,Indonesia,BMKG,-6.781,107
53,bmg2024clln,2024/02/04 17:22:51.707,-7.239892960000000,107.632202100000001,2.431217638000000,MLv,10,22,86.688903809999999,Java,Indonesia,BMKG,-7.240,108
54,bmg2024cgto,2024/02/02 03:46:29.882,-7.260397434000000,107.636390700000007,3.107339008000000,MLv,10,46,88.325515749999994,Java,Indonesia,BMKG,-7.260,108
55,bmg2024gfws,2024/03/29 14:22:40.248,-6.724088668823242,106.655235290527344,2.917618915642467,M,10,19,66.674774169921875,Java,Indonesia,BMKG,-6.724,107
56,bmg2024gatk,2024/03/26 19:00:48.876,-6.733552455902100,106.701278686523438,3.040277673895499,M,10,29,59.148302078247070,Java,Indonesia,BMKG,-6.734,107
57,bmg2024gaga,2024/03/26 12:15:12.805,-7.260009765625000,106.111488342285156,3.288363718172726,M,28,36,208.102294921875000,Java,Indonesia,BMKG,-7.260,106
58,bmg2024fzea,2024/03/25 22:06:03.706,-6.808433055877686,108.096458435058594,3.043926842595840,M,5,30,45.291732788085938,Java,Indonesia,BMKG,-6.808,108
59,bmg2024fybd,2024/03/25 07:30:59.642,-6.949596881866456,105.471221923828125,3.295940245488001,M,29,38,218.501052856445312,Sunda Strait,Indonesia,BMKG,-6.950,105
60,bmg2024fert,2024/03/14 17:11:17.305,-7.196912288665770,107.683563232421875,2.466105616242140,M,15,17,101.209609985351562,Java,Indonesia,BMKG,-7.197,108
61,bmg2024etxz,2024/03/08 19:50:14.091,-6.666298866271974,107.813606262207017,3.090305242374343,M,7,23,87.118085861206055,Java,Indonesia,BMKG,-6.666,108
62,bmg2024erst,2024/03/07 14:56:01.119,-6.746456623077394,106.628593444824219,2.491209615236455,MLv,116,25,63.307136535644531,Java,Indonesia,BMKG,-6.746,107
63,bmg2024eqjt,2024/03/06 21:14:36.940,-7.202866077423096,107.634788513183594,2.480841064482310,M,10,16,84.710043907165513,Java,Indonesia,BMKG,-7.203,108
64,bmg2024eouw,2024/03/06 00:35:42.039,-6.452816009521484,107.380386352539062,2.227255080471789,MLv,10,10,137.162841796875000,Java,Indonesia,BMKG,-6.453,107
65,bmg2024ejls,2024/03/03 02:16:55.217,-7.193397998809814,107.735824584960938,2.794598218130845,M,10,16,92.515571594238281,Java,Indonesia,BMKG,-7.193,108
66,bmg2024ilcn,2024/04/29 22:03:50.135,-7.107677459716798,105.345466613769531,3.522048546790290,M,5,43,224.072723388671875,Java,Indonesia,BMKG,-7.108,105
67,bmg2024ikuw,2024/04/29 18:10:58.010,-7.087382316589356,106.980583190917969,2.112194691973037,M,14,27,95.963958740234375,Java,Indonesia,BMKG,-7.087,107
68,bmg2024ikuu,2024/04/29 18:08:25.202,-7.108106613159180,106.975891113281250,2.892277153399530,M,11,32,101.292404174804688,Java,Indonesia,BMKG,-7.108,107
69,bmg2024ihny,2024/04/27 23:16:33.386,-7.159498691558838,105.351501464843750,3.223025886525227,M,5,35,234.699142456054688,Java,Indonesia,BMKG,-7.159,105
70,bmg2024iguj,2024/04/27 13:22:58.623,-6.841363906860352,107.002662658691406,3.066216108204692,M,5,19,78.500160217285156,Java,Indonesia,BMKG,-6.841,107
71,bmg2024igel,2024/04/27 05:21:19.443,-6.629367351531982,107.952949523925781,3.284553980963699,M,300,50,77.091945648193359,Java,Indonesia,BMKG,-6.629,108
72,bmg2024igcn,2024/04/27 04:22:44.116,-7.163173675537110,105.358299255371094,4.724401991700350,M,10,32,209.774131774902344,Java,Indonesia,BMKG,-7.163,105
73,bmg2024ibjy,2024/04/24 14:26:43.119,-6.915008068084718,106.435203552246094,3.179895442481495,M,131,36,108.976165771484375,Java,Indonesia,BMKG,-6.915,106
