No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Coun,Azimuth Ga,Location,Agency,lat,long
54,bmg2024bhvm,2024/01/19 12:20:35.447,-3.690580368000000,118.825706499999995,3.393094070000000,M,12,25,158.896102899999988,"Sulawesi, Indonesia",BMKG,9590985.002,36052.527
55,bmg2024bhgq,2024/01/19 04:50:10.559,-1.119884133000000,121.494895900000003,2.460011818000000,MLv,10,22,105.992069200000003,"Sulawesi, Indonesia",BMKG,9876175.999,332531.997
56,bmg2024bhcs,2024/01/19 02:51:37.196,-1.050004363000000,121.496360800000005,4.190778394000000,MLv,10,94,37.972633360000003,"Sulawesi, Indonesia",BMKG,9883902.601,332691.189
57,bmg2024bhac,2024/01/19 01:32:20.861,-0.086162619290000,123.445838899999998,4.361613162000001,MLv,100,116,72.675689700000007,"Minahassa Peninsula, Sulawesi",BMKG,9990476.151,549611.155
58,bmg2024bgxe,2024/01/19 00:04:05.168,-0.253617346300000,125.223052999999993,3.930165186000000,MLv,10,50,60.668731690000001,Southern Molucca Sea,BMKG,9971946.406,747430.238
59,bmg2024bgtb,2024/01/18 21:58:32.950,-1.315713763000000,121.502792400000004,2.549071878000000,M,10,19,73.445981979999999,"Sulawesi, Indonesia",BMKG,9854523.858,333422.844
60,bmg2024bgsi,2024/01/18 21:37:08.492,-0.673446655300000,121.935317999999995,2.888892198000000,MLv,10,27,87.505249019999994,"Minahassa Peninsula, Sulawesi",BMKG,9925550.937,381528.816
61,bmg2024bgsa,2024/01/18 21:27:19.686,-2.368274450000000,121.205268899999993,2.564017901000000,MLv,10,13,58.887588500000000,"Sulawesi, Indonesia",BMKG,9738103.826,300428.054
62,bmg2024bgrm,2024/01/18 21:10:26.387,-1.082019329000000,121.477706900000001,1.671099642000000,MLv,10,13,140.488204999999994,"Sulawesi, Indonesia",BMKG,9880361.712,330616.845
63,bmg2024bgrg,2024/01/18 21:04:19.429,-1.118365884000000,121.488960300000002,2.209384163000000,MLv,10,17,99.372890470000002,"Sulawesi, Indonesia",BMKG,9876343.531,331871.322
64,bmg2024bgre,2024/01/18 21:01:44.473,-1.101552486000000,121.483291600000001,2.617894377000000,MLv,10,22,113.752260199999995,"Sulawesi, Indonesia",BMKG,9878202.253,331239.482
65,bmg2024bgrd,2024/01/18 21:00:28.875,-1.100924492000000,121.485542300000006,2.661489333000000,MLv,10,24,66.642150880000003,"Sulawesi, Indonesia",BMKG,9878271.818,331489.935
66,bmg2024bgqu,2024/01/18 20:49:27.674,-1.143843055000000,121.531700099999995,2.195091083000000,M,10,9,150.275138900000002,"Sulawesi, Indonesia",BMKG,9873529.011,336629.334
67,bmg2024bgqs,2024/01/18 20:47:57.786,-1.113415122000000,121.497306800000004,1.972144889000000,MLv,10,13,121.349575000000002,"Sulawesi, Indonesia",BMKG,9876891.407,332799.946
68,bmg2024bgqp,2024/01/18 20:44:29.410,-1.129351258000000,121.526321400000000,1.932001598000000,MLv,10,16,118.289800600000007,"Sulawesi, Indonesia",BMKG,9875131.022,336029.922
69,bmg2024bgql,2024/01/18 20:39:12.960,-2.370585680000000,121.182777400000006,3.269521591000000,MLv,10,44,49.773254389999998,"Sulawesi, Indonesia",BMKG,9737844.973,297926.525
70,bmg2024bgpo,2024/01/18 20:12:42.612,-1.074503064000000,121.482223500000003,2.404757424000000,MLv,10,21,92.047403340000002,"Sulawesi, Indonesia",BMKG,9881193.033,331119.104
71,bmg2024bgpg,2024/01/18 20:03:47.352,-3.824132442000000,121.893272400000001,2.439096063000000,MLv,10,12,79.651718140000000,"Sulawesi, Indonesia",BMKG,9577233.005,377113.673
72,bmg2024bgpb,2024/01/18 19:57:37.957,-1.105535984000000,121.510681199999993,2.945672185000000,MLv,10,18,65.970855709999995,"Sulawesi, Indonesia",BMKG,9877763.343,334287.974
73,bmg2024bgox,2024/01/18 19:52:57.252,-1.123824954000000,121.502922100000006,2.084321770000000,MLv,10,17,120.249841700000005,"Sulawesi, Indonesia",BMKG,9875740.726,333425.474
74,bmg2024bgou,2024/01/18 19:49:25.025,-1.108217239000000,121.476928700000002,1.780769614000000,MLv,10,13,113.515451400000003,"Sulawesi, Indonesia",BMKG,9877464.972,330531.707
75,bmg2024bgom,2024/01/18 19:39:46.152,-1.098015904000000,121.506500200000005,2.381443647000000,MLv,10,23,90.347153660000004,"Sulawesi, Indonesia",BMKG,9878594.592,333822.244
76,bmg2024bgob,2024/01/18 19:27:13.736,-1.100253940000000,121.504394500000004,2.407201226000000,MLv,10,27,90.292423249999999,"Sulawesi, Indonesia",BMKG,9878347.019,333588.019
77,bmg2024bgny,2024/01/18 19:23:48.607,-1.086803555000000,121.497612000000004,2.470898521000000,MLv,10,21,104.160827600000005,"Sulawesi, Indonesia",BMKG,9879833.831,332832.431
78,bmg2024bgnq,2024/01/18 19:13:54.454,-1.069010019000000,121.503387500000002,3.689634793000000,MLv,10,62,46.619522089999997,"Sulawesi, Indonesia",BMKG,9881801.552,333474.239
79,bmg2024bgnm,2024/01/18 19:10:18.513,-1.054202199000000,121.502815200000001,2.927993558000000,MLv,10,39,68.507476810000000,"Sulawesi, Indonesia",BMKG,9883438.798,333409.753
80,bmg2024bgnd,2024/01/18 18:59:08.930,-1.078082085000000,121.508926399999993,2.210766855000000,MLv,10,19,114.311142000000004,"Sulawesi, Indonesia",BMKG,9880798.771,334091.173
81,bmg2024bgls,2024/01/18 18:16:12.119,-1.051297069000000,121.473434400000002,3.889974623000000,MLv,10,54,56.462371830000002,"Sulawesi, Indonesia",BMKG,9883758.430,330139.652
82,bmg2024bglr,2024/01/18 18:14:50.572,-1.113031983000000,121.504745499999999,2.514559417000000,MLv,10,19,111.435565900000000,"Sulawesi, Indonesia",BMKG,9876934.191,333627.795
83,bmg2024bglh,2024/01/18 18:03:00.881,-1.102617264000000,121.475479100000001,4.769209552000000,MLv,10,51,35.317070010000002,"Sulawesi, Indonesia",BMKG,9878084.077,330370.058
84,bmg2024bglb,2024/01/18 17:56:16.059,-1.096685290000000,121.475936899999994,2.599768530000000,M,10,11,101.142646799999994,"Sulawesi, Indonesia",BMKG,9878740.001,330420.673
85,bmg2024bgku,2024/01/18 17:48:25.128,-1.092921615000000,121.506812999999994,3.281185331000000,MLv,10,37,46.741409300000001,"Sulawesi, Indonesia",BMKG,9879157.876,333856.776
86,bmg2024bgkk,2024/01/18 17:36:18.613,-1.119667172000000,121.516815199999996,4.993473300000000,Mw(mB),10,207,31.807746890000001,"Sulawesi, Indonesia",BMKG,9876201.232,334971.425
87,bmg2024bghs,2024/01/18 16:14:59.675,-1.100901723000000,121.503585799999996,2.968282028000000,MLv,10,19,76.291542050000004,"Sulawesi, Indonesia",BMKG,9878275.349,333498.053
88,bmg2024bghr,2024/01/18 16:13:55.851,-1.090510368000000,121.498069799999996,3.336828301000000,MLv,10,55,47.654174800000000,"Sulawesi, Indonesia",BMKG,9879423.999,332883.585
89,bmg2024bghp,2024/01/18 16:11:21.213,-1.095477581000000,121.483192399999993,3.839805284000000,MLv,10,83,34.836936950000002,"Sulawesi, Indonesia",BMKG,9878873.946,331228.100
