No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Coun,Azimuth Ga,Location,Agency,lat,long
41,bmg2024bnzz,2024/01/22 21:25:12.124,-0.761624991900000,124.492462200000006,4.168463999000000,MLv,10,44,57.027389530000001,Southern Molucca Sea,BMKG,-0.762,124.492
42,bmg2024bnvr,2024/01/22 19:15:33.667,-2.440437555000000,120.860282900000001,2.938378107000000,M,10,12,98.394500730000004,"Sulawesi, Indonesia",BMKG,-2.440,120.860
43,bmg2024bnjq,2024/01/22 13:09:55.628,-4.642502785000000,121.293937700000001,2.916941756000000,M,3,24,139.379707300000007,"Sulawesi, Indonesia",BMKG,-4.643,121.294
44,bmg2024bmdf,2024/01/21 20:47:19.555,-1.083834410000000,121.501014699999999,3.258328158000000,MLv,8,42,47.342819210000002,"Sulawesi, Indonesia",BMKG,-1.084,121.501
45,bmg2024bmdd,2024/01/21 20:44:42.505,-1.094337225000000,121.491287200000002,2.654216667000000,MLv,10,34,56.873321529999998,"Sulawesi, Indonesia",BMKG,-1.094,121.491
46,bmg2024bmag,2024/01/21 19:18:00.921,-2.440272808000000,120.993789699999994,2.784889808000000,MLv,2,36,54.634906770000001,"Sulawesi, Indonesia",BMKG,-2.440,120.994
47,bmg2024blhz,2024/01/21 10:03:17.911,0.153249695900000,122.882011399999996,3.803084696000000,M,227,56,29.383941650000001,"Minahassa Peninsula, Sulawesi",BMKG,0.153,122.882
48,bmg2024blht,2024/01/21 09:56:31.629,0.214416250600000,122.537673999999996,3.250548917000000,MLv,127,28,68.229148859999995,"Minahassa Peninsula, Sulawesi",BMKG,0.214,122.538
49,bmg2024bkfd,2024/01/20 19:29:43.333,-1.050153255000000,121.482383700000000,3.504281546000000,MLv,10,62,49.375885009999998,"Sulawesi, Indonesia",BMKG,-1.050,121.482
50,bmg2024bjre,2024/01/20 12:26:00.714,0.475067973100000,122.515106200000005,2.506157927000000,MLv,12,7,107.674598700000004,"Minahassa Peninsula, Sulawesi",BMKG,0.475,122.515
51,bmg2024bipx,2024/01/19 22:39:51.317,0.165749117700000,122.927215599999997,4.066626181000000,MLv,24,75,29.757080080000001,"Minahassa Peninsula, Sulawesi",BMKG,0.166,122.927
52,bmg2024binc,2024/01/19 21:14:30.277,-2.502441406000000,121.699195900000007,2.550762446000000,M,25,20,62.272712710000000,"Sulawesi, Indonesia",BMKG,-2.502,121.699
53,bmg2024biae,2024/01/19 14:43:02.560,-0.375868201300000,123.222015400000004,3.162298569000000,MLv,26,29,91.827106479999998,"Minahassa Peninsula, Sulawesi",BMKG,-0.376,123.222
54,bmg2024bhvm,2024/01/19 12:20:35.447,-3.690580368000000,118.825706499999995,3.393094070000000,M,12,25,158.896102899999988,"Sulawesi, Indonesia",BMKG,-3.691,118.826
55,bmg2024bhgq,2024/01/19 04:50:10.559,-1.119884133000000,121.494895900000003,2.460011818000000,MLv,10,22,105.992069200000003,"Sulawesi, Indonesia",BMKG,-1.120,121.495
56,bmg2024bhcs,2024/01/19 02:51:37.196,-1.050004363000000,121.496360800000005,4.190778394000000,MLv,10,94,37.972633360000003,"Sulawesi, Indonesia",BMKG,-1.050,121.496
57,bmg2024bhac,2024/01/19 01:32:20.861,-0.086162619290000,123.445838899999998,4.361613162000001,MLv,100,116,72.675689700000007,"Minahassa Peninsula, Sulawesi",BMKG,-0.086,123.446
58,bmg2024bgxe,2024/01/19 00:04:05.168,-0.253617346300000,125.223052999999993,3.930165186000000,MLv,10,50,60.668731690000001,Southern Molucca Sea,BMKG,-0.254,125.223
59,bmg2024bgtb,2024/01/18 21:58:32.950,-1.315713763000000,121.502792400000004,2.549071878000000,M,10,19,73.445981979999999,"Sulawesi, Indonesia",BMKG,-1.316,121.503
60,bmg2024bgsi,2024/01/18 21:37:08.492,-0.673446655300000,121.935317999999995,2.888892198000000,MLv,10,27,87.505249019999994,"Minahassa Peninsula, Sulawesi",BMKG,-0.673,121.935
61,bmg2024bgsa,2024/01/18 21:27:19.686,-2.368274450000000,121.205268899999993,2.564017901000000,MLv,10,13,58.887588500000000,"Sulawesi, Indonesia",BMKG,-2.368,121.205
62,bmg2024bgrm,2024/01/18 21:10:26.387,-1.082019329000000,121.477706900000001,1.671099642000000,MLv,10,13,140.488204999999994,"Sulawesi, Indonesia",BMKG,-1.082,121.478
63,bmg2024bgrg,2024/01/18 21:04:19.429,-1.118365884000000,121.488960300000002,2.209384163000000,MLv,10,17,99.372890470000002,"Sulawesi, Indonesia",BMKG,-1.118,121.489
