No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
61,bmg2024bgsa,2024-01-18T21:27:19.686087Z,-2.36827445,121.2052689,2.564017901,MLv,10,13,58.8875885,"Sulawesi, Indonesia",BMKG
62,bmg2024bgrm,2024-01-18T21:10:26.387442Z,-1.082019329,121.4777069,1.671099642,MLv,10,13,140.488205,"Sulawesi, Indonesia",BMKG
63,bmg2024bgrg,2024-01-18T21:04:19.429301Z,-1.118365884,121.4889603,2.209384163,MLv,10,17,99.37289047,"Sulawesi, Indonesia",BMKG
64,bmg2024bgre,2024-01-18T21:01:44.473418Z,-1.101552486,121.4832916,2.617894377,MLv,10,22,113.7522602,"Sulawesi, Indonesia",BMKG
65,bmg2024bgrd,2024-01-18T21:00:28.875441Z,-1.100924492,121.4855423,2.661489333,MLv,10,24,66.64215088,"Sulawesi, Indonesia",BMKG
66,bmg2024bgqu,2024-01-18T20:49:27.674082Z,-1.143843055,121.5317001,2.195091083,M,10,9,150.2751389,"Sulawesi, Indonesia",BMKG
67,bmg2024bgqs,2024-01-18T20:47:57.786212Z,-1.113415122,121.4973068,1.972144889,MLv,10,13,121.349575,"Sulawesi, Indonesia",BMKG
68,bmg2024bgqp,2024-01-18T20:44:29.410071Z,-1.129351258,121.5263214,1.932001598,MLv,10,16,118.2898006,"Sulawesi, Indonesia",BMKG
69,bmg2024bgql,2024-01-18T20:39:12.960407Z,-2.37058568,121.1827774,3.269521591,MLv,10,44,49.77325439,"Sulawesi, Indonesia",BMKG
70,bmg2024bgpo,2024-01-18T20:12:42.611697Z,-1.074503064,121.4822235,2.404757424,MLv,10,21,92.04740334,"Sulawesi, Indonesia",BMKG
71,bmg2024bgpg,2024-01-18T20:03:47.351925Z,-3.824132442,121.8932724,2.439096063,MLv,10,12,79.65171814,"Sulawesi, Indonesia",BMKG
72,bmg2024bgpb,2024-01-18T19:57:37.956654Z,-1.105535984,121.5106812,2.945672185,MLv,10,18,65.97085571,"Sulawesi, Indonesia",BMKG
73,bmg2024bgox,2024-01-18T19:52:57.251809Z,-1.123824954,121.5029221,2.08432177,MLv,10,17,120.2498417,"Sulawesi, Indonesia",BMKG
